<narrator>「ダミーメッセージ」=
<narrator>「ここは　<blue>火の国（ひのくに）|木ノ葉隠れの里（このはがくれのさと）<black>だっ！」=<narrator>This is the <blue>Village Hidden in the Leaves<black>.
<narrator>「木ノ葉きんざんでは　じめんにある|“まきもの”のうえにのって・・・」=<narrator>At the Northern Hot Springs, if you stand on top of a scroll,
「ちがうまきものに|瞬身（しゅんしん）いどうすべしっ！」=you’ll teleport to another scroll's location!
<narrator>「おとしあなに　おちなければ|さきにすすめない　ところもあるぞっ！」=<narrator>Sometimes, the only way to move forward is to fall down a hole!
<narrator>「なわのまえで　Ａボタンをおすと|うえにのぼれるぞっ！」=<narrator>Press the A button in front of a rope to climb up!
<narrator>「きたのひとうにいる　自来也さまをさがせっ！」=<narrator>Find Jiraiya in the Northern Hot Springs!
<narrator>「きたのひとうへは　火の国かいどうをとおって|木ノ葉きんざんを　ぬけると　たどりつけるぞっ！」=<narrator>You can reach the Northern Hot Springs by going through the Land of Fire Plains and Hidden Leaf Mine.
<narrator>「きたのひとうへは　火の国かいどうをとおって|さんどうトンネルをぬけると　たどりつけるぞっ！」=<narrator>You can reach the Northern Hot Springs by going through the Land of Fire Plains and following a tunnel in the Hidden Leaf Mine.
<narrator>「エビス先生を　さがせっ！|忍者学校（アカデミー）の　どこかにいるかも・・・？」=<narrator>Find Ebisu-sensei! He’s probably somewhere in the Ninja Academy...?
<narrator>「忍者学校（アカデミー）にある|依頼受付所（いらいうけつけじょ）を　めざせっ！」=<narrator>Head to Mission Reception in the Ninja Academy!
<narrator>「せいげんじかんないに|ナルトのいえまで　たどりつけっ！！」=<narrator>Get to Naruto's house within the time limit!
<narrator>「いちど　木ノ葉隠れの里にもどれっ！」=<narrator>Head back to Hidden Leaf Village!
<narrator>「木ノ葉のもりを　ぬけると　ぜんたいマップで|木ノ葉隠れの里を　せんたくできるぞっ！」=<narrator>Once you leave the forest, you can select Hidden Leaf Village from the map!
<narrator><instant>　ヒントを　きかない|　ヒントを　きく<0B>=<narrator><instant>　Nah, I’m good.|　Give it to me straight!　<0B>
<narrator>「そうか・・・　こまったら|いつでも　はなしかけてくれっ！」=<narrator>Oh, right... Well, if you get stuck, you know where to find me!
<narrator>「じんけいをととのえたら　多由也（タユヤ）に|はなしかけろっ！」=<narrator>When you’re ready, talk to Tayuya!
<narrator>「ききこみできいた　綱手（ツナデ）さまがいるらしい|たんざくじょうを　めざせっ！」=<narrator>Head to Tanzaku Town, where Tsunade is supposed to be!
「おしろだから　きっと　いしがきがあるはず・・・」=There must be a stone wall around here somewhere...#qc
<narrator>「火の国こっきょうを　さらに　おくにすすんで|サスケを　おいかけろっ！！」=<narrator>Head deeper into the Land of Fire Border and find Sasuke!
